iteration,eval_score,eval_task_rewards,eval_tracking_rewards,eval_tracking_hand_rewards,eval_tracking_object_rewards,eval_success,time_sampling,mean_log_std,mean_std,rollout_mean_task_rewards,rollout_min_task_rewards,rollout_max_task_rewards,rollout_mean_tracking_rewards,rollout_min_tracking_rewards,rollout_max_tracking_rewards,rollout_mean_tracking_hand_rewards,rollout_min_tracking_hand_rewards,rollout_max_tracking_hand_rewards,rollout_mean_tracking_object_rewards,rollout_min_tracking_object_rewards,rollout_max_tracking_object_rewards,discounted_traj_rewards,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,t_opt,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after
0,3455.821304359912,673.5053928107151,3455.821304359912,0.0,0.0,60.0,200.30021023750305,-1.869669144352277,0.1903846550685102,279.68866521212834,14.063397527273505,1523.7060569290986,3351.569450952577,2169.4091917593637,3422.3927517382685,0.0,0,0,0.0,0,0,1472.981514869972,3351.569450952577,271.25273487725207,3422.3927517382685,2169.4091917593637,50.0,0.08589744567871094,-5.9604645e-06,8.060853e-06,3351.569450952577,50.0,1944,0.10511898994445801,0.9999349301021481,0.9080001115483963
1,3455.5895365091574,664.4350020999867,3455.5895365091574,0.0,0.0,60.0,209.39470195770264,-1.869671806693077,0.1903841130877674,258.39032410053795,-1.9031355336530558,1056.5092997377667,3413.7568879874825,3404.178813656318,3419.6145367880686,0.0,0,0,0.0,0,0,1485.721486013646,3413.7568879874825,4.181297441628545,3419.6145367880686,3404.178813656318,40.0,0.059212446212768555,-6.6161156e-06,4.8996826e-06,3357.788194656068,40.0,1980,0.11602020263671875,0.9086624629946014,0.3379377892437491
2,3455.6503173834985,665.795656597116,3455.6503173834985,0.0,0.0,60.0,207.60312128067017,-1.8696743448575337,0.19038375868017895,299.9154566350386,25.418569627800665,1468.5476989418569,3340.0813677870333,2099.403444449277,3424.9054515779003,0.0,0,0,0.0,0,0,1471.184837258593,3340.0813677870333,287.25016519541543,3424.9054515779003,2099.403444449277,50.0,0.060544729232788086,-6.020069e-06,5.2464397e-06,3356.0175119691644,50.0,1937,0.10227108001708984,0.338679169843667,0.27634727028153777
3,3455.6818313976864,665.4249397133648,3455.6818313976864,0.0,0.0,60.0,203.32752752304077,-1.8696769202748935,0.19038348977166417,355.7858079540967,10.958102716987991,1203.0801689883738,3299.2526988116506,2366.5098274428165,3420.9870762491396,0.0,0,0,0.0,0,0,1463.6977579676377,3299.2526988116506,296.402671635425,3420.9870762491396,2366.5098274428165,55.0,0.056722164154052734,-6.0796738e-06,4.811698e-06,3350.3410306534133,55.0,1915,0.06795835494995117,0.27934591008283394,0.2502245221181291
4,3455.623471936152,665.3865339202465,3455.623471936152,0.0,0.0,60.0,206.81061267852783,-1.8696809808413188,0.19038249112596875,308.9296859906111,9.84487352838053,1458.091000664358,3414.9232086661614,3403.2299605794956,3421.0938946790698,0.0,0,0,0.0,0,0,1486.3925584155465,3414.9232086661614,4.8953815811587695,3421.0938946790698,3403.2299605794956,50.0,0.0688924789428711,-6.0796738e-06,3.96678e-06,3356.7992484546885,50.0,1980,0.14422106742858887,0.24771695115277118,0.2155753327012254
5,3455.674184812283,593.6173435749004,3455.674184812283,0.0,0.0,55.0,205.36194443702698,-1.8696818202733994,0.19038186973846508,512.6344480071702,18.419302358735255,1558.622345240386,3411.7773797261143,3400.5449165519676,3420.1152204251002,0.0,0,0,0.0,0,0,1484.1966846615726,3411.7773797261143,6.156132721869801,3420.1152204251002,3400.5449165519676,55.0,0.05791783332824707,-6.854534e-06,4.009466e-06,3362.2970615818313,55.0,1980,0.11134862899780273,0.21544981547552342,0.17905483715238607
6,3413.815132031444,603.4415789864101,3413.815132031444,0.0,0.0,55.0,209.71129250526428,-1.8696852251887321,0.190380900659589,279.53316865837803,-1.7501426712079122,1493.5574326834917,3412.7179090468585,3398.4760745451294,3423.1933500855184,0.0,0,0,0.0,0,0,1485.068816516697,3412.7179090468585,6.90497362330628,3423.1933500855184,3398.4760745451294,45.0,0.05235862731933594,-5.6922436e-06,1.9067465e-06,3367.339146328334,45.0,1980,0.08772921562194824,0.1763152837020137,0.13501414113859556
7,3450.5490915318674,605.265349578961,3450.5490915318674,0.0,0.0,55.0,206.2519977092743,-1.8696887368957202,0.1903801091492315,328.66798067745924,13.262332238940978,1676.5929898118582,3414.171537991825,3406.184560423573,3419.728165903313,0.0,0,0,0.0,0,0,1485.8647371991974,3414.171537991825,3.9452708134989742,3419.728165903313,3406.184560423573,50.0,0.07243466377258301,-6.556511e-06,3.497107e-06,3372.0223854946835,50.0,1980,0.1094675064086914,0.13696047948817827,0.10420315183409319
8,3398.139965013767,603.808972652614,3398.139965013767,0.0,0.0,55.0,209.89278173446655,-1.8696880092223485,0.19038005008486913,495.4937764670364,8.08695400783979,1306.346283505798,3414.5588271957395,3406.415036440209,3419.7833674442895,0.0,0,0,0.0,0,0,1486.4127211403636,3414.5588271957395,3.6840463468056908,3419.7833674442895,3406.415036440209,75.0,0.056746482849121094,-6.1392784e-06,6.0604075e-06,3376.2760296647893,75.0,1980,0.10838603973388672,0.10963391007131526,0.08913631953508343
9,3398.0515111279515,626.0216203871166,3398.0515111279515,0.0,0.0,60.0,204.57428646087646,-1.8696864346663158,0.19038003737269482,300.867932773553,-1.925077970061687,1622.6297543729281,3357.865729797789,2271.0073392838212,3421.5829403910047,0.0,0,0,0.0,0,0,1475.1312237745308,3357.865729797789,249.38267609747524,3421.5829403910047,2271.0073392838212,45.0,0.0581812858581543,-6.5863132e-06,4.233981e-06,3374.4349996780898,45.0,1947,0.08097553253173828,0.0824831562011859,0.07174564009448799
10,3455.7515990322318,620.201079114833,3455.7515990322318,0.0,0.0,60.0,203.4305226802826,-1.8696835810939472,0.19038043087219567,238.01076344977196,11.202092954158264,972.8016992134429,3343.714196615697,2029.9051380756905,3419.4150794918364,0.0,0,0,0.0,0,0,1470.548583021148,3343.714196615697,301.43151593857056,3419.4150794918364,2029.9051380756905,45.0,0.059027910232543945,-5.7816505e-06,4.068601e-06,3371.3629193718507,45.0,1940,0.10453367233276367,0.07836036232237197,0.07242242315619282
